,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
1,s2,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",India,2018,13+,110 min,"Drama, International",A Metro Family decides to fight a Cyber Criminal threatening their stability and pride.
24,s24,TV Show,ZeroZeroZero,,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",Italy,2020,18+,1 Season,TV Shows,"ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean."
28,s28,TV Show,Z: The Beginning of Everything,,"Christina Ricci , David Hoflin",United States,2017,18+,1 Season,"Comedy, Drama","""Z: The Beginning of Everything"" tells the story of Zelda Sayre Fitzgerald, the brilliant, beautiful Southern Belle who became the original flapper and icon of the wild, flamboyant Jazz Age."
67,s67,TV Show,World’s Toughest Race: Eco-Challenge Fiji,,Bear Grylls,United States,2020,13+,1 Season,Unscripted,"66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race."
85,s85,TV Show,Wishenpoof,,"Addison Holley, Hope Cassandra, Scott McCord, Katie Griffin, Ethan Tavares, Devan Cohen, Roanna Cochrane, Millie Davis, Jason Priestley, Saara Chaudry, Kyle Lomas, Ava Priestley, Johnny Orlando, Kathy Laskey, Matthew MacFadzean, TJ McGibbon, Elizabeth Hanna, Caissie Levy, Ava Close, Nissae Isen, Jeff Geddis, Kristin Fairlie",United States,2019,G,4 Seasons,Kids,"Bianca is just like any other little girl, except for one teensy little thing.  Bianca has Wish Magic, so she can make wishes come true! Whether she’s at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems."
109,s108,Movie,Whoop!,Kreeti Gogia,Abish Mathew,India,2018,18+,64 min,"Arts, Entertainment, and Culture","Abish Mathew is the world's greatest stand-up comedian (*citation needed) and this is the world's greatest stand up special (*this definitely needs a citation). Every great punchline has a great set up! And in this one-hour special, we find out how Abish was set up to be a punchline his whole life."
144,s143,Movie,Wedding Cha Shinema,Saleel Kulkarni,"Shivraj Waichal, Rucha Inamdar, Mukta Barve, Purnima Ahire, Adesh Aware",India,2019,G,138 min,"Comedy, International","An aspiring filmmaker reluctantly takes up the assignment of filming a wedding in a small town. Once she gets there, she is drawn into the celebration, chaos and drama surrounding the family gathering."
167,s166,Movie,Waiting for You,Charles Garrad,"Colin Morgan, Fanny Ardant, Abdelkrim Bahloul, Clare Holman","United Kingdom, France",2018,13+,92 min,"Drama, Romance, Suspense","Paul (Morgan) investigates his late father's increasingly disturbing past and becomes suspicious of the mysterious, melancholic, and possibly dangerous Madeleine (Ardant)."
176,s174,Movie,Vows of Deception,Bill Norton,"Cheryl Ladd, Nick Manusco, Nancy Cartwright, Vyto Ruginis, Mike Farrell, Cady Huffman",United States,1996,PG-13,94 min,"Drama, Suspense","When a prominent lawyer is found murdered, his wife is promptly arrested and charged with the crime. She swiftly accuses her stepson, with whom she claims to be having an affair. This sheds enough reasonable doubt to get her case dismissed on grounds of a mistrial, but three years later, prosecutors arrest and charge her again. Will she be so lucky on her second go?"
178,s176,Movie,Voice From the Stone,Eric D. Howell,"Emilia Clarke, Marton Csokas, Caterina Murino, Remo Girone","United States, Italy",2017,R,90 min,"Drama, Suspense","Set in 1950s Tuscany, Voice from the Stone is the haunting and suspenseful story of Verena, a solemn nurse drawn to aid a young boy who has fallen silent since the sudden passing of his mother."
181,s179,Movie,Viswasam,Siva,"Ajith Kumar, Nayanthara",India,2019,13+,151 min,"Action, Drama, International","A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years."
183,s181,Movie,Virus,Aashiq Abu,"Revathy, Kunchako Boban, Parvathy Thiruvoth",India,2019,G,149 min,"Drama, Science Fiction, Suspense","Virus is a fiction based on true events, revolving around the deadly Nipah virus epidemic scare in Calicut, in 2018. A zoonotic disease top-listed by WHO, with no vaccination and treatment protocol, the deadly Nipah kills 75 % of those affected. Virus movie documents how the community spirit of a small town, in a tiny state of India, managed to fight the battle and win."
193,s190,Movie,Vicky Velingkar,Saurabh Varma,"Sonalee Kulkarni, Spruha Joshi, Sangram Samel, Kettan Singh, Gaurav More, Rama Joshi, Vinita karat, Juhi Pawar",India,2019,13+,125 min,"International, Suspense","Vicky Velingkar is a struggling comic book artist and a watch seller, who gets entangled in an unexpected murder mystery. As she investigates, she realises that nothing is what it seems and the man who killed her best friend is now on to her. In a race against time, Vicky must find the killer before he hunts her down."
197,s194,Movie,Vellai Pookal,Vivek Elangovan,"Vivek, Charlie, Dev, Pooja Devariya","United States, India",2019,13+,121 min,"International, Suspense","Vellai Pookal is a thriller based on the story of a retired Indian cop who travels to the USA to meet his son and fatefully finds himself caught in a web of disappearance, death, and deceit. Follow Rudhran through his experiences in the Pacific Northwest and you will smile, laugh heartily, gasp with fear and be chilled with thrills as he unravels the mystery of the kidnappings in his neighborhood."
210,s207,TV Show,Utopia,,"John Cusack, Rainn Wilson, Sasha Lane",United States,2020,16+,1 Season,"Drama, Suspense","Utopia is a conspiracy thriller that follows a group of young fans who come together when they discover that the conspiracy in an elusive comic, Utopia, is real. The comic foretells the demise of humanity and the world as we know it, thrusting this group of underdogs to embark on a high-stakes twisted adventure to use what they uncover to save themselves, each other and ultimately humanity."
216,s213,TV Show,Upload,,"Robbie Amell, Andy Allo, Allegra Edwards, Zainab Johnson, Kevin Bigley, Chloe Coleman",United States,2020,16+,1 Season,Comedy,"From the Emmy-winning Greg Daniels (The Office, Parks & Rec) comes a hilarious new sci-fi comedy. In the future people can upload their consciousness to a luxurious digital afterlife. When party boy Nathan gets uploaded to a virtual resort he meets the down-to-earth Nora who starts as his customer service “angel”, but becomes so much more as she helps him find friendship, love and purpose."
220,s217,TV Show,Undone,,"Rosa Salazar, Angelique Cabral, Constance Marie, Siddharth Dhananjay, Daveed Diggs, Bob Odenkirk",United States,2019,16+,1 Season,"Animation, Drama","UNDONE is a half-hour, genre-bending, animated series that explores the elastic nature of reality through its central character Alma, a twenty-eight-year-old living in San Antonio, Texas. After getting into a car accident and nearly dying, Alma finds she has a new relationship to time. She develops this new ability in order to find out the truth about her father’s death."
229,s225,Movie,Under the Boardwalk: The Monopoly Story,Kevin Tostado,Zachary Levi,United States,2011,G,88 min,"Documentary, Special Interest","""Under the Boardwalk"" looks into how the classic board game of Monopoly has become a worldwide cultural phenomenon, people who collect anything and everything Monopoly, and follows the colorful players who come together to compete for the coveted title of Monopoly World Champion."
246,s240,Movie,UFOs - The Secret History,David Cherniack,"Michael D. Swords PhD., Jerome Clark, David Jacobs Ph.D., Thomas E. Bullard Ph.D., Budd Hopkins, Travis Walton, Maj. Robert Friend (USAF Rtd.), Bruce Maccabee Ph.D., J. Gordon Melton Ph.D., David Rudiak",United States,2016,G,102 min,Special Interest,"Considered one of the best documentaries ever produced on this subject, this ground breaking feature-length documentary traces the history of the most powerful story of our time, the UFO phenomenon. Loaded with amazing information, expert analyses, and interviews with leading UFOlogists. Also available Part 2 Addendum and Part 3 Addendum with over 3-Hours of additional commentary."
258,s252,TV Show,Tumble Leaf,,"Christopher Downs, Brooke Wolloff, Zac McDowell, Skyler Brigmann, Addie Zintel, Alex Trugman, John Taylor, Jodi Downs, Alan Franzenburg, Emily Downs",United States,2019,G,6 Seasons,Kids,"Tumble Leaf is a series aimed at preschoolers, set in a whimsical land where a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by narratives that promote play, the fun of learning and understanding the world around them."
261,s256,TV Show,Truth Seekers,,"Nick Frost, Malcolm McDowell, Samson Kayo, Susan Wokoma, Emma D'Arcy, Simon Pegg","United Kingdom, United States",2020,16+,1 Season,Comedy,"Broadband installer by day, paranormal investigator by night, Gus is annoyed to be partnered with “noob” Elton, but comes to appreciate having someone along for the ride as they uncover a spike in supernatural activity. They’re soon joined by Astrid, who has ghost problems of her own, and the gang embark upon creating a ghost-hunting YouTube channel, uncovering a terrifying conspiracy as they go."
264,s259,Movie,True Colors,Herbert Ross,"Richard Widmark, Dina Merrill, Philip Bosco, Paul Guilfoyle, Steve Morley",United States,1991,R,110 min,Drama,"While Tim dreamed of working in the Justice Department, Peter aspired to be a high-powered political player - at any cost."
267,s262,Movie,Tropic Thunder,Ben Stiller,"Ben Stiller, Jack Black, Robert Downey","United States, United Kingdom, Germany",2008,R,107 min,"Action, Comedy","Ben Stiller, Jack Black and Robert Downey Jr. lead an ensemble cast in 'Tropic Thunder,' an action comedy about a group of self-absorbed actors who set out to make the most expensive war film."
269,s264,Movie,Triple Seat (4K UHD),Sanket Prakash Pavse,"Ankush Chaudhari, Shivani Surve, Pallavi Patil",India,2019,NR,126 min,"Comedy, International","A young, happy couple`s life gets turned upside down when the guy receives a call from an unknown woman who claims to be in danger. A new take on the classic love triangle, Triple Seat brings to you a light-hearted story about wireless love."
275,s270,TV Show,Transparent,,"Trace Lisette, Missi Pyle, Tig Notaro, Jay Duplass, Jerry Adler, Gaby Hoffmann, Judith Light, Richard Kind, Michaela Watkins, Erik Liberman, Jo Lambert, Alia Shawkat, Cherry Jones, Rob Huebel, Melora Hardin, Leslie Margherita, Bradley Whitford, Rainn Wilson, Jenny O'Hara, Kathryn Hahn, Amy Landecker",United States,2019,18+,5 Seasons,"Comedy, Drama, LGBTQ","THE TRANSPARENT MUSICALE FINALE takes the beloved Emmy and Golden Globe award-winning series TRANSPARENT to new heights as a dazzling two-hour movie musical fantasia. When the Pfeffermans face a life-changing loss, they begin a journey hilarious and melancholy, brazen and bold. As they face this new transition, they confront grief and come together to celebrate connection, joy, and transformation."
277,s272,Movie,Transit,Antonio Negret,"James Caviezel, James Frain, Elisabeth Rohm, Harold Perrineau, Ryan Donowho",United States,2012,R,88 min,"Action, Drama, Suspense",The camping trip was meant to reunite the Sidwell family...it's not. When they are hunted and terrorized by violent bank robbers their very survival will depend on working together.
286,s281,Movie,Touch Chesi Chudu,Vikram Sirikonda,"Ravi Teja, Raashi Khanna, Seerat Kapoor",India,2018,13+,142 min,"Drama, International, Romance","Karthikeya(Ravi Teja) is a businessman who keeps his family first before anything. He has a tough time convincing Pushpa(Raashi Khanna) whom he met in a match making, to marry him and when things seem to be going fine, he suddenly comes across Irfan, a criminal with whom he shares a dreaded past. Who is Irfan? What is the past that connects both of them? What is the shocking fact revealed later?"
289,s284,Movie,Tortilla Soup,Maria Ripoll,"Héctor Elizondo, Jacqueline Obradors, Elizabeth Peña, Tamara Mello, Raquel Welch, Paul Rodriguez, Constance Marie",United States,2002,PG-13,104 min,"Comedy, Drama, Romance",A Mexican-American master chef and father to three daughters has lost his taste for food but not for life.
299,s294,TV Show,Too Old to Die Young,,"Babs Olusanmokun, Augusto Aguilera, John Hawkes, Jena Malone, Hart Bochner, Nell Tiger Free, Celestino Cornielle, Billy Baldwin, Miles Teller",United States,2019,18+,1 Season,TV Shows,"In one tragic night, Los Angeles County Sheriff's Deputy Martin Jones's life is blown apart, and he is forced into a deadly underground of Cartel soldiers, Yakuza assassins, and mysterious vigilantes. Soon he finds himself lost on a surreal odyssey of murder, mysticism and vengeance, as his past sins close in on him."
314,s310,TV Show,Tom Clancy's Jack Ryan,,"John Krasinski, Wendell Pierce, Noomi Rapace, Jordi Mollá, Francisco Denis, Cristina Umaña, John Hoogenakker, Jovan Adepoand, Michael Kelly",United States,2019,16+,2 Seasons,"Action, Drama, Suspense","After tracking a suspicious shipment in the Venezuelan jungle, Jack Ryan heads to South America to investigate. As Jack threatens to uncover a far-reaching conspiracy, the President of Venezuela launches a counter-attack that hits home, leading Jack on a mission spanning the US, UK, Russia, and Venezuela to unravel the President's plot and bring stability to a country on the brink of chaos."
316,s312,TV Show,Tokyo Vampire Hotel,,"Ami Tomite, Shinnosuke Mitsushima, Megumi Kagurazaka, Yumi Adachi, Kaho",Japan,2018,18+,1 Season,"Fantasy, Horror, International","Manami goes out to celebrate her 22nd birthday with friends and narrowly misses being killed in a murder rampage. Manami runs for her life but is chased by K, a member of the Dracula clan, and Yamada, a Corvin, AKA Neo Vampire. Manami is the one prophesied to rescue the Dracula clan. What is K's mission? And Manami's fate? The battle between humans, Vampires and Neo Vampires begins. ©2017NIKKATSU"
318,s314,TV Show,Tokyo Alice,,"Aya Asahina, Maryjun Takahashi, Reina Triendl, Mizuki Yamamoto, Ryohei Otani",Japan,2019,13+,1 Season,"Drama, Romance","This is the story of the real-life, high-end romances of four former classmates. It follows the love, work and interests of the four protagonists, Fu, Mizuho, Sayuri and Ryo. Amazon Original ""Tokyo Alice"" Author: Toriko Chiya (Kodansha ""Kiss"")"
326,s322,Movie,To Catch a Thief,Alfred Hitchcock,"Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams, Charles Vanel, Brigitte Auber, Jean Martinelli, Georgette Anys",United States,1955,PG,106 min,"Drama, Suspense",Stars Cary Grant as a former thief suspected of a new series of crimes and Grace Kelly as the woman who romances him.
344,s339,Movie,Tiger Zinda Hai,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Paresh Rawal, Girish Karnad, Anant Vidhaat, Kumud Kumar Mishra, Angad Bedi, Sajjad Delafrooz",India,2017,13+,159 min,"Action, Drama, International","When a group of Indian and Pakistani nurses are held hostage in Iraq by the militant Abu Usman, Indian intelligence (RAW) tracks down the reclusive agent Tiger 8 years after he fled with former Pakistani intelligence (ISI) agent Zoya. Joining forces in the name of humanity, Tiger and Zoya lead a team of RAW and ISI agents to covertly enter the hospital where the nurses are trapped."
346,s341,Movie,Ticker,Albert Pyun,"Tom Sizemore, Dennis Hopper, Steven Seagal",United States,2001,R,92 min,"Action, Adventure, Suspense","When a mad bomber (Dennis Hopper) descends on San Francisco, it's up to two men to uncover his plot and find the massive bomb hidden somewhere in the city."
356,s351,Movie,Three Wishes,Martha Coolidge,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello, Seth Mumy",United States,1995,13+,116 min,"Adventure, Fantasy","In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family."
369,s363,TV Show,This is Football,,"Pep Guardiola, Oliver Khan, Brandi Chastain, Juan Mata, Megan Rapinoe",United States,2019,13+,1 Season,"Documentary, Sports, Unscripted","An emotionally-charged, six-part documentary, exploring football's extraordinary impact on the world. From the streets of Delhi to the fields of post-war Rwanda to the pitches of the Champions League, this globe-spanning series tells a unique story of the game and its power to unite countries, inspire generations and captivate billions."
370,s364,TV Show,This Giant Beast That Is The Global Economy,,"Kal Penn, Cristela Alonzo, Tone Bell, Rob Corddry, Ted Danson, Zach Galifianakis, Colin Hanks, Ed Helms, Pete Holmes, Rashida Jones, Joel McHale, Thomas Middleditch, Bobby Moynihan, Ed O’Neill, Patton Oswalt, Missi Pyle, Rob Riggle, Paul Scheer, Mary Steenburgen, Jason Sudeikis, Meghan Trainor, Sasheer Zamata",United States,2019,16+,1 Season,"Documentary, Special Interest","This docuseries brings the smart, stylized storytelling of Adam McKay’s The Big Short to a quirky and compelling exploration of the global economy. In each episode, host Kal Penn – with the help of some celebrity friends – answers a burning question like: How can I launder a bag of dirty cash? How scared should I be of a rubber apocalypse? And is it easier for dicks to get rich?"
372,s366,Movie,Think Like a Dog (4K UHD),Gil Junger,"Gabriel Bateman, Josh Duhamel, Megan Fox, Kunal Nayyar, Julia Jones, Janet Montgomery, Bryan Callen, Todd Stashwick, Neo Hooo","China, United States, United Kingdom",2020,PG,91 min,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy."
373,s367,Movie,Think Like a Dog,Gil Junger,"Gabriel Bateman, Josh Duhamel, Megan Fox, Kunal Nayyar, Julia Jones, Janet Montgomery, Bryan Callen, Todd Stashwick, Neo Hooo","China, United States, United Kingdom",2020,PG,91 min,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy."
380,s374,Movie,The Zookeeper,Ralph Ziman,"Sam Neill, Gina McKee, Ulrich Thomsen, Om Puri","Denmark, United Kingdom, Czech Republic, Netherlands",2001,13+,99 min,Drama,"In the midst of a devastating civil war in an Eastern European country, a disillusioned ex-Communist is left behind to take care of the animals in the capital's zoological gardens until a U.N. rescue force arrives."
381,s375,Movie,The Zombie King,Aidan Belizaire,"Edward Furlong, Corey Feldman, George McCluskey",United Kingdom,2013,16+,96 min,"Comedy, Horror","After heartbroken widower Samuel makes a deal with Kalfu, the god of Malevolence. This allows Samuel to live with his dead wife as a zombie, and leads to the destruction of the underworld."
399,s393,TV Show,The Wilds,,"Rachel Griffiths, Sophia Ali, Reign Edwards, Helena Howard, Mia Healey, Jenna Clause, Erana James, Shannon Berry, Sarah Pidgeon",United States,2020,16+,1 Season,"Drama, Suspense, Young Adult Audience","A group of teen girls from different backgrounds must fight for survival after a plane crash strands them on a deserted island. The castaways both clash and bond as they learn more about each other, the secrets they keep, and the traumas they've all endured. There’s just one twist to this thrilling drama… these girls did not end up on this island by accident."
400,s394,Movie,The Wild Horse Redemption,John Zaritsky,,Canada,2007,13+,91 min,"Documentary, Special Interest","At a prison in the high desert foothills of the Colorado Rocky Mountains, hardened criminals are taught the training methods of ""horse whisperers"" and given 90 days to tame wild mustangs taken from the herd that roams government lands. Failure means one more defeat for the inmate; success could save both lives."
404,s398,Movie,The Wereth Eleven,Robert Child,"Corey Reynolds, Ken Arnold",United States,2011,13+,61 min,"Documentary, Military and War","During World War II, 1.2 million African-Americans served in America's Armed Forces. Fully 125,000 served overseas. 708 were killed. Among these were The Wereth Eleven. Their story was lost to history. Until now."
405,s399,Movie,The Wedding Year,Robert Luketic,"Sarah Hyland, Camille Hyde, Zora Bikangaga, Laci Mosley, Tom Conolly, Grace Helbig, Tyler James Williams, Jenna Dewan, Matt Shively, Anna Camp, Noureen DeWulf, Wanda Sykes, Kristen Johnston, Patrick Warburton, Keith David",United States,2019,R,91 min,Comedy,A commitment-phobic 27-year old's relationship is put to the test when she and her boyfriend attend 7 weddings in the same year.
409,s403,Movie,The Vast of Night,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis, Cheyenne Barton, Gregory Peyton",United States,2020,PG-13,91 min,"Drama, Science Fiction, Suspense","In the twilight of the 1950s, on one fateful night in New Mexico, a young switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever."
411,s405,TV Show,The Underground Railroad,,"Thuso Mbedu, Joel Edgerton, Chase W. Dillon, William Jackson Harper, Will Poulter",United States,2021,TV-MA,1 Season,Drama,"Coming soon to Prime Video: May 14. The Underground Railroad follows Cora, a young enslaved woman who embarks on a heart-wrenching, history bending journey to freedom, while being pursued by a dangerous slave catcher, Ridgeway. On her strenuous journey of growth and perseverance, Cora encounters a mysterious subterranean railroad, and the timeless truths about what it means to be Black in America."
427,s420,TV Show,The Tick,,"Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines, Yara Martinez, Scott Speiser",United States,2019,18+,2 Seasons,"Action, Comedy","Tick and Arthur have freed the City from The Terror - now they must defend it from new villains and old enemies. That is if they can convince AEGIS, the government agency in charge of superhero regulation, that they deserve the job. But now that the City is ‘safe enough to protect’ Tick and Arthur begin to see they’ve got competition..."
443,s437,TV Show,The Stinky & Dirty Show,,"Issac Ryan Brown, Jet Jurgensmeyer",United States,2019,G,5 Seasons,Kids,"Best friends Stinky the garbage truck and Dirty the backhoe loader return for more resourcefulness and whimsical adventures – all inspired by using what’s around them and asking the question: “What if…?” Based on books by Jim and Kate McMullan with original music from Dan Bern and featuring celebrity voices like Whoopi Goldberg, Jane Lynch, Andy Richter, Joan Cusack and Wallace Shawn."
463,s456,Movie,The Secret of Roan Inish,John Sayles,"Jeni Courtney, Eileen Colgan, Mick Lally, Susan Lynch, John Lynch, Frankie McCafferty","United States, Ireland",1995,PG,102 min,Drama,Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.
469,s465,TV Show,The Romanoffs,,"Jack Huston, Paul Reiser, Diane Lane, Christina Hendricks, Amanda Peet, Noah Wyle, Isabelle Huppert, John Slattery, Andrew Rannells, Aaron Eckhart, Kathryn Hahn",United States,2018,16+,1 Season,Drama,"From the creator of Mad Men, The Romanoffs is a contemporary anthology series set around the globe featuring eight separate stories about people who believe themselves to be descendants of the Russian royal family. Starring Aaron Eckhart, Diane Lane, Isabelle Huppert, Christina Hendricks, John Slattery, Amanda Peet, Jack Huston, Kathryn Hahn, Noah Wyle, Paul Reiser, Andrew Rannells and more."
474,s470,TV Show,The Remix,,"Akhil Talreja, Amit Trivedi, Karan Tacker, Kryll, Sreeram Chandra, Thomson Andrews, Prakriti Kakar, Kiran Kamath, Megha Kawale, Nawed Khan, Manasi Scott, NSG, Sureal, Rashmeet Kaur, Anirudh Bhola, Akasa Singh, Nucleya, Candice Redding, Sunidhi Chauhan, Rink, Sonam Topden, Skip, Yash Narvekar, Rupali Jagga",India,2018,13+,1 Season,"International, Music Videos and Concerts, Unscripted","The Remix is the new sound of Indian music! On this music competition show, some of the coolest musicians rejig, reshuffle and remix popular Bollywood songs. A singer and DJ team up to create a fresh spin culminating in a musical extravaganza. The 10 teams give it their all to put out riveting performances to impress the celebrity judges: Sunidhi Chauhan, Amit Trivedi and Nucleya!"
498,s493,Movie,The Parallax View,Alan J. Pakula,"Warren Beatty, Hume Cronyn, Paula Prentiss, Kenneth Mars",United States,1974,R,102 min,Drama,"Warren Beatty is a news reporter who, along with seven others, witnesses the assassination of a political candidate."
511,s506,Movie,The Nutty Professor (1963),Jerry Lewis,"Jerry Lewis, Stella Stevens, Del Moore",United States,1963,G,107 min,"Comedy, Science Fiction","Jerry Lewis plays a timid, nearsighted chemistry teacher who discovers a magical potion that can transform him into a suave and handsome Romeo. The Jekyll and Hyde game works well enough until the concoction starts to wear off at the most embarrassing times."
537,s531,Movie,The Monster Squad,Fred Dekker,"Andre Gower, Duncan Regehr, Ryan Lambert, Stephen Macht, Tom Noonan",United States,1987,PG-13,82 min,"Action, Comedy, Horror","Dracula, the Wolf Man, the Gill-Man, the Mummy, and the Frankenstein Monster are in hot pursuit of a mysterious amulet that will allow their return and only the movie-loving kids in the neighborhood Monster Club can stop them!"
550,s543,TV Show,The Marvelous Mrs. Maisel,,"Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle, Kevin Pollak, Caroline Aaron, Jane Lynch, Tony Shalhoub",United States,2019,16+,3 Seasons,"Comedy, Drama","Midge and Susie discover that life on tour with Shy is glamorous but humbling, and they learn a lesson about show business they’ll never forget. Joel struggles to support Midge while pursuing his own dreams. Abe embraces a new mission and Rose learns she has talents of her own."
554,s547,TV Show,The Man In the High Castle,,"Alexa Davalos, Joel de la Fuente, Jason O’Mara, Brennan Brown, Chelah Horsdal, Frances Turner, Rufus Sewell","United States, United Kingdom, Canada",2019,18+,4 Seasons,"Action, Drama, Historical","In the climactic final season, America will witness rebellion on both coasts as Juliana and Wyatt join forces with an emerging Black insurgency led by Bell Mallory. Takeshi Kido will be forced to reckon with the demons of his past, and John and Helen Smith’s lives will be forever changed after Smith steps through the Die Nebenwelt portal and travels the path not taken."
573,s565,Movie,The Legend of Swee' Pea,Benjamin May,"Lloyd Daniels, Avery Johnson, Bobbito Garcia, David Robinson, Jerry Tarkanian",United States,2020,18+,80 min,"Documentary, Sports","A ""mystical understanding of the game"" made Lloyd ""Swee' Pea"" Daniels a New York City basketball legend by the age of 16. Christened the ""next Magic Johnson"", his career effectively ended at age 21 after being shot 3 times in the chest after a tussle over $8 of cocaine. The Legend of Swee' Pea follows the twists and turns of fortune in the life of a basketball prodigy."
580,s572,Movie,The Last Sharknado: It's About Time,Anthony C. Ferrante,"Tara Reid, Ian Ziering, Cassie Scerbo, Vivica A. Fox, Judah Friedlander",United States,2018,13+,89 min,"Action, Science Fiction","Determined to bring his family back to life, Gil sends his father Fin back in time to stop the Sharknados from starting. Along the way, he fights dinosaurs, knights, cowboys, and a robot version of his wife. This time - it's not how to stop the Sharknados, but when."
583,s575,TV Show,The Last Narc,,"Conseulo 'Chatita' Berrellez, Geneva Camarena, Jorge Godoy",United States,2020,16+,1 Season,Documentary,"In 1985, American DEA agent Enrique “Kiki” Camarena was kidnapped, tortured, and murdered by Mexico’s most notorious drug lords. Thirty-five years later, three former cartel insiders share unprecedented details. This is the story of Camarena, the drug cartel he infiltrated, and the narc who risked everything to discover the truth."
587,s579,Movie,The Last Black Man in San Francisco (4K UHD),Joe Talbot,"Mike Epps, Jimmie Fails, Finn Wittrock, Danny Glover, Rob Morgan, Tichina Arnold, Jonathan Majors",United States,2019,R,121 min,"Arthouse, Arts, Entertainment, and Culture, Drama","Jimmie and his best friend Mont try to reclaim the home built by his grandfather, launching them on a poignant odyssey to find a place to call home."
598,s590,TV Show,The Kicks,,"Sixx Orange, Isabella Acres, E'myri Crutchfield, Gabe Eggerling, Sophia Mitri Schloss, Monica Lacy, Tim Martin Gleason",United States,2016,G,1 Season,Kids,"Devin Burke and her family have moved cross-country to California and now must adjust to a new life and a new soccer team. The Kentville Kicks don't quite play up to the standard that Devin is used to, so she must establish herself as a leader while also trying to make friends in a strange place."
614,s608,Movie,The Immortalists,"David Alvarado, Jason Sussberg","Bill Andrews, Aubrey de Grey, Colin Blakemore, Adelaide Carpenter, Terry Grossman, Leonard Hayflick, Randy Lee","United Kingdom, United States, India",2014,7+,77 min,"Documentary, Special Interest","What would the world look like if humans never grew old? Two eccentric biologists are determined to find out. In this larger-than-life doc, Bill Andrews and Aubrey de Grey leave behind the journals and peer reviews of the scientific establishment to embark on a quest for the age-old secret of eternal youth."
619,s613,Movie,The Hungry,Bornila Chatterjee,"Antonio Aakeel, Tisca Chopra, Neeraj Kabi, Naseeruddin Shah","United Kingdom, India",2017,18+,99 min,"Drama, International","THE HUNGRY follows Tulsi Joshi, a widow and bride to be who comes to her own wedding seeking revenge for the brutal murder of her first born son. Based on Shakespeare’s Titus Andronicus, THE HUNGRY is about the violence that exists between power and love - a macabre fairytale set in the elite circles of north India."
626,s620,Movie,The Hollow Child,Jeremy Lutter,"Jessica McLeod, Hannah Cheramy, John Emmet Tracy",Canada,2018,16+,88 min,Horror,"Highly intelligent and malicious creatures known as The Hollow Ones live in the woods and entice children with their hypnotic folklore music. Samantha, a young foster teen, must fight to expose these dangerous supernatural impostors to save her younger sister who has been taken, otherwise her soul will be lost forever."
641,s635,TV Show,The Great Escapists,,"Richard Hammond, Tory Belleci, Joseph Balderrama, Silvana Montoya",United States,2021,13+,1 Season,Unscripted,"In this season Richard Hammond and Tory Belleci use what’s left of their shipwreck to survive and thrive. Using their engineering know how, the boys try to escape the island and even make their island life better. From a fully working tank to a three-story treehouse on the seafront, life is pretty sweet. But will their inventions help them escape, or keep them stuck forever in paradise?"
644,s638,TV Show,The Grand Tour,,"Richard Hammond, Jeremy Clarkson, James May","United Kingdom, United States",2020,16+,4 Seasons,"Comedy, Documentary, Sports","The intrepid trio find themselves back on four wheels for their latest adventure. Armed with sports cars, Richard, James and Jeremy think they are in for a cushy road trip as they arrive on the exotic island of Reunion and race on the world’s most expensive piece of tarmac. But a bizarre challenge propels them to Madagascar where they must tackle the world’s toughest road."
